test_year,score,weather_stratum,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2003,component_transition_score,normal weather,0.05,1380,136,69,37,0.27205882352941174,0.5362318840579711,0.09855072463768116,5.4411764705882355,0.7179546216168267,0.46624350836699363,5463168.0,7609350.0,808.0,1733.0
2003,component_transition_score,normal weather,0.1,1380,136,138,51,0.375,0.3695652173913043,0.09855072463768116,3.7499999999999996,0.7271103313686451,0.5164454702827467,5532837.0,7609350.0,895.0,1733.0
2003,component_transition_score,adverse weather,0.05,692,68,35,16,0.23529411764705882,0.45714285714285713,0.09826589595375723,4.652100840336134,0.927172715023723,0.13126131563065782,3629858.0,3914975.0,870.0,6628.0
2003,component_transition_score,adverse weather,0.1,692,68,70,26,0.38235294117647056,0.37142857142857144,0.09826589595375723,3.779831932773109,0.9340368712443885,0.14891369945684974,3656731.0,3914975.0,987.0,6628.0
2003,component_transition_score,high wind,0.05,40,12,2,2,0.16666666666666666,1.0,0.3,3.3333333333333335,1.0,1.0,301885.0,301885.0,528.0,528.0
2003,component_transition_score,high wind,0.1,40,12,4,3,0.25,0.75,0.3,2.5,1.0,1.0,301885.0,301885.0,528.0,528.0
2003,component_transition_score,low visibility,0.05,106,14,6,4,0.2857142857142857,0.6666666666666666,0.1320754716981132,5.0476190476190474,0.8735376415337294,0.9530685920577617,301885.0,345589.0,528.0,554.0
2003,component_transition_score,low visibility,0.1,106,14,11,5,0.35714285714285715,0.45454545454545453,0.1320754716981132,3.4415584415584415,0.8735376415337294,0.9602888086642599,301885.0,345589.0,532.0,554.0
2003,component_transition_score,precipitation,0.05,210,18,11,5,0.2777777777777778,0.45454545454545453,0.08571428571428572,5.303030303030303,0.7695729537366548,0.09059711736444749,301885.0,392276.0,528.0,5828.0
2003,component_transition_score,precipitation,0.1,210,18,21,8,0.4444444444444444,0.38095238095238093,0.08571428571428572,4.444444444444444,0.8362989323843416,0.10398078242964996,328060.0,392276.0,606.0,5828.0
2003,component_transition_score,low ceiling,0.05,594,56,30,14,0.25,0.4666666666666667,0.09427609427609428,4.95,0.9341679236392076,0.13649199874490117,3629858.0,3885659.0,870.0,6374.0
2003,component_transition_score,low ceiling,0.1,594,56,60,21,0.375,0.35,0.09427609427609428,3.7125,0.9343475585479838,0.14323815500470663,3630556.0,3885659.0,913.0,6374.0
2003,weather_severity_only,all matched,0.05,2072,204,104,15,0.07352941176470588,0.14423076923076922,0.09845559845559845,1.4649321266968325,0.0352874463363364,0.6681019016864012,406664.0,11524325.0,5586.0,8361.0
2003,weather_severity_only,all matched,0.1,2072,204,208,26,0.12745098039215685,0.125,0.09845559845559845,1.2696078431372548,0.0352874463363364,0.6709723717258701,406664.0,11524325.0,5610.0,8361.0
2003,component_weather_transition_score,all matched,0.05,2072,204,104,42,0.20588235294117646,0.40384615384615385,0.09845559845559845,4.101809954751132,0.7301456701368627,0.10345652433919388,8414436.0,11524325.0,865.0,8361.0
2003,component_weather_transition_score,all matched,0.1,2072,204,208,81,0.39705882352941174,0.3894230769230769,0.09845559845559845,3.955316742081448,0.7823561032858758,0.23800980743930153,9016126.0,11524325.0,1990.0,8361.0
