test_year,dimension,stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2013,airport,United States airport,hierarchical_review_rule,0.05,7449,570,373,224,0.3929824561403509,0.6005361930294906,0.07652033830044301,7.848059827853817,0.5901821073365128,0.7336746019162382,10476947.0,17752058.0,32391.0,44149.0
2013,airport,United States airport,hierarchical_review_rule,0.1,7449,570,745,349,0.612280701754386,0.4684563758389262,0.07652033830044301,6.121985164252915,0.799624133720158,0.8478334730118462,14194974.0,17752058.0,37431.0,44149.0
2013,airport,non-US or unknown airport,hierarchical_review_rule,0.05,1704,178,86,50,0.2808988764044944,0.5813953488372093,0.10446009389671361,5.565717272014633,0.3179225382264593,0.6604491126403477,2071678.0,6516298.0,10941.0,16566.0
2013,airport,non-US or unknown airport,hierarchical_review_rule,0.1,1704,178,171,83,0.46629213483146065,0.4853801169590643,0.10446009389671361,4.646560220776661,0.3819670309737216,0.7848605577689243,2489011.0,6516298.0,13002.0,16566.0
2013,source,FAA source,hierarchical_review_rule,0.05,7865,517,394,198,0.3829787234042553,0.5025380710659898,0.06573426573426573,7.6449940598336745,0.5011637421909129,0.6513110657974095,7562617.0,15090112.0,22678.0,34819.0
2013,source,FAA source,hierarchical_review_rule,0.1,7865,517,787,298,0.5764023210831721,0.3786531130876747,0.06573426573426573,5.7603611884614345,0.628722901460241,0.813607513139378,9487499.0,15090112.0,28329.0,34819.0
2013,source,airport source,hierarchical_review_rule,0.05,77,2,4,2,1.0,0.5,0.025974025974025976,19.25,0.0,0.0,0.0,0.0,0.0,1.0
2013,source,airport source,hierarchical_review_rule,0.1,77,2,8,2,1.0,0.25,0.025974025974025976,9.625,0.0,0.0,0.0,0.0,0.0,1.0
2013,source,operator or pilot source,hierarchical_review_rule,0.05,238,4,12,2,0.5,0.16666666666666666,0.01680672268907563,9.916666666666666,0.0,0.0,0.0,0.0,0.0,0.0
2013,source,operator or pilot source,hierarchical_review_rule,0.1,238,4,24,2,0.5,0.08333333333333333,0.01680672268907563,4.958333333333333,0.0,0.0,0.0,0.0,0.0,0.0
