airport_id,year,candidate_component_records,matched_component_records,weather_observations
FLL,2007,60,50,8723
FLL,2008,50,46,8733
FLL,2009,49,41,8726
FLL,2010,61,56,8730
FLL,2011,76,67,8726
FLL,2012,61,57,8759
FLL,2013,65,64,8731
FLL,2014,77,72,8718
FLL,2015,53,45,8733
FLL,2016,87,84,8757
FLL,2017,77,75,8719
FLL,2018,68,64,8710
FLL,2019,83,81,8729
FLL,2020,41,38,8738
FLL,2021,102,101,8704
FLL,2022,116,116,8727
FLL,2023,140,121,8709
FLL,2024,105,103,8758
FLL,2025,130,128,8727
SEA,2000,27,6,8536
SEA,2001,16,8,8596
SEA,2002,30,22,8508
SEA,2003,29,17,8698
SEA,2004,40,19,8667
SEA,2005,33,22,8578
SEA,2006,44,36,8706
SEA,2007,47,43,8692
SEA,2008,59,50,8749
SEA,2009,62,53,8723
SEA,2010,87,78,8722
SEA,2011,106,96,8826
SEA,2012,60,44,8756
SEA,2013,40,29,8722
SEA,2014,64,56,8729
SEA,2015,70,48,8713
SEA,2016,66,48,8748
SEA,2017,91,83,8707
SEA,2018,88,71,8716
SEA,2019,108,91,8722
SEA,2020,58,44,8738
SEA,2021,94,91,8722
SEA,2022,93,88,8725
SEA,2023,88,76,8733
SEA,2024,89,84,8754
SEA,2025,84,82,8731
TEB,2000,32,12,8709
TEB,2001,26,20,8723
TEB,2002,12,7,8728
TEB,2003,41,35,8715
TEB,2004,17,17,8749
TEB,2005,26,24,8720
TEB,2006,28,25,8662
TEB,2007,25,23,8690
TEB,2008,40,37,8685
TEB,2009,26,24,8708
TEB,2010,28,27,8719
TEB,2011,23,23,8724
TEB,2012,15,15,8669
TEB,2013,14,14,8709
TEB,2014,38,38,8724
TEB,2015,27,25,8710
TEB,2016,29,29,8737
TEB,2017,28,28,8627
TEB,2018,40,40,8686
TEB,2019,35,35,8712
TEB,2020,19,19,8738
TEB,2021,38,38,8698
TEB,2022,31,28,8699
TEB,2023,36,36,8692
TEB,2024,35,35,8725
TEB,2025,38,38,8713
MSY,2000,29,8,8701
MSY,2001,32,15,8728
MSY,2002,51,22,8711
MSY,2003,43,17,8709
MSY,2004,44,22,8737
MSY,2005,46,31,8714
MSY,2006,24,16,8663
MSY,2007,27,22,8677
MSY,2008,51,39,8645
MSY,2009,74,67,8716
MSY,2010,89,78,8729
MSY,2011,88,82,8734
MSY,2012,89,85,8753
MSY,2013,41,37,8712
MSY,2014,60,56,8726
MSY,2015,61,55,8709
MSY,2016,66,62,8751
MSY,2017,52,52,8714
MSY,2018,37,37,8714
MSY,2019,67,63,8726
MSY,2020,28,27,8744
MSY,2021,44,43,8711
MSY,2022,79,75,8724
MSY,2023,72,71,8733
MSY,2024,72,71,8741
MSY,2025,81,78,8719
PIT,2000,40,19,8733
PIT,2001,53,31,8730
PIT,2002,71,56,8735
PIT,2003,39,33,8733
PIT,2004,41,32,8752
PIT,2005,38,34,8726
PIT,2006,32,26,8730
PIT,2007,22,18,8732
PIT,2008,35,27,8746
PIT,2009,49,46,8735
PIT,2010,48,47,8718
PIT,2011,37,35,8674
PIT,2012,36,34,8610
PIT,2013,43,41,8676
PIT,2014,48,44,8723
PIT,2015,27,24,8707
PIT,2016,48,47,8730
PIT,2017,69,66,8725
PIT,2018,73,73,8720
PIT,2019,73,63,8729
PIT,2020,31,28,8750
PIT,2021,55,53,8731
PIT,2022,82,80,8731
PIT,2023,56,42,8736
PIT,2024,87,83,8755
PIT,2025,71,70,8735
MDW,2000,6,3,8714
MDW,2001,18,10,8661
MDW,2002,25,14,8677
MDW,2003,40,22,8699
MDW,2004,26,19,8720
MDW,2005,38,27,8725
MDW,2006,38,20,5102
MDW,2007,41,25,8644
MDW,2008,65,56,8734
MDW,2009,63,44,8718
MDW,2010,62,50,8636
MDW,2011,53,51,8656
MDW,2012,58,56,8746
MDW,2013,67,63,8688
MDW,2014,61,54,8715
MDW,2015,81,76,8732
MDW,2016,66,66,8759
MDW,2017,45,43,8726
MDW,2018,58,58,8731
MDW,2019,67,58,8734
MDW,2020,42,39,8757
MDW,2021,64,58,8735
MDW,2022,83,72,8732
MDW,2023,102,94,8735
MDW,2024,86,85,8761
MDW,2025,107,102,8733
CMH,2000,33,14,8680
CMH,2001,44,29,8727
CMH,2002,37,19,8723
CMH,2003,21,14,8725
CMH,2004,20,11,8687
CMH,2005,33,27,8635
CMH,2006,36,28,8689
CMH,2007,82,67,8699
CMH,2008,34,32,8735
CMH,2009,40,38,8723
CMH,2010,43,36,8716
CMH,2011,18,17,8733
CMH,2012,42,41,8750
CMH,2013,49,47,8722
