target,score,budget_share,train_window,first_test_year,last_test_year,num_test_years,test_component_records,target_records,selected_component_records,captured_target_records,pooled_capture_rate,pooled_selected_target_rate,pooled_overall_target_rate,pooled_lift,mean_annual_capture_rate,mean_annual_lift
part_damage,component_phase_size_mass_frequency,0.01,5,1995,2025,31,273838,22992,2752,104,0.004523312456506611,0.0377906976744186,0.08396205055543789,0.45009260045961386,0.004442684583755179,0.4408186166051512
part_damage,component_phase_size_mass_rate,0.05,5,1995,2025,31,273838,22992,13706,7093,0.30849860821155184,0.5175105793083321,0.08396205055543789,6.163624826749959,0.30604656765531785,6.113765331517278
part_damage,component_phase_size_rate,0.05,5,1995,2025,31,273838,22992,13706,6901,0.30014787752261657,0.5035021158616664,0.08396205055543789,5.996782028676366,0.2979717492340845,5.952358670271436
part_damage,species_phase_size_rate,0.05,5,1995,2025,31,273838,22992,13706,6395,0.2781402226861517,0.4665839778199329,0.08396205055543789,5.557081737919919,0.27605836554363433,5.51447750472308
part_damage,phase_size_rate,0.05,5,1995,2025,31,273838,22992,13706,5657,0.24604210160055673,0.41273894644681164,0.08396205055543789,4.915779732824548,0.24369728324422688,4.868159597340086
part_damage,component_only_rate,0.05,5,1995,2025,31,273838,22992,13706,3573,0.15540187891440502,0.2606887494527944,0.08396205055543789,3.1048401954007616,0.1556203882100159,3.1083097822366
part_damage,component_phase_size_mass_frequency,0.05,5,1995,2025,31,273838,22992,13706,522,0.022703549060542796,0.03808550999562235,0.08396205055543789,0.45360385726257973,0.02288466406065949,0.4569069236398603
part_damage,component_phase_size_mass_rate,0.1,5,1995,2025,31,273838,22992,27395,11251,0.48934411969380653,0.41069538236904546,0.08396205055543789,4.8914405931269425,0.48647249490706207,4.862323964985221
part_damage,component_phase_size_rate,0.1,5,1995,2025,31,273838,22992,27395,10946,0.4760786360473208,0.39956196386201864,0.08396205055543789,4.758839990433518,0.47360120836772196,4.733638666511051
part_damage,species_phase_size_rate,0.1,5,1995,2025,31,273838,22992,27395,9835,0.4277574808629088,0.35900711808724217,0.08396205055543789,4.2758259917699295,0.42597650949840166,4.257579936989199
part_damage,phase_size_rate,0.1,5,1995,2025,31,273838,22992,27395,9580,0.4166666666666667,0.3496988501551378,0.08396205055543789,4.164963192796739,0.41417267852491013,4.139644575373872
part_damage,component_only_rate,0.1,5,1995,2025,31,273838,22992,27395,5733,0.24934759916492694,0.20927176492060595,0.08396205055543789,2.4924565745619733,0.24992574540716556,2.4979042369591684
part_damage,component_phase_size_mass_frequency,0.1,5,1995,2025,31,273838,22992,27395,887,0.038578636047320806,0.03237817119912393,0.08396205055543789,0.38562863799694236,0.039011552091196514,0.3897955390564137
part_damage,component_phase_size_mass_rate,0.2,5,1995,2025,31,273838,22992,54779,15551,0.676365692414753,0.28388616075503387,0.08396205055543789,3.3811246733140643,0.6752275841472885,3.3752379351536255
part_damage,component_phase_size_rate,0.2,5,1995,2025,31,273838,22992,54779,15429,0.6710594989561587,0.2816590299202249,0.08396205055543789,3.354599227352755,0.6700889340588279,3.3495508414307857
part_damage,species_phase_size_rate,0.2,5,1995,2025,31,273838,22992,54779,13297,0.5783315935977731,0.24273900582339947,0.08396205055543789,2.8910561880944705,0.5777151863244873,2.887810086582005
part_damage,phase_size_rate,0.2,5,1995,2025,31,273838,22992,54779,13192,0.5737647877522617,0.2408222128918016,0.08396205055543789,2.8682269108326883,0.5729015725554952,2.8637425381179695
part_damage,component_only_rate,0.2,5,1995,2025,31,273838,22992,54779,9917,0.43132393876130826,0.18103652859672503,0.08396205055543789,2.1561708819532877,0.432114326889608,2.1599658933737382
part_damage,component_phase_size_mass_frequency,0.2,5,1995,2025,31,273838,22992,54779,1473,0.06406576200417537,0.02688986655470162,0.08396205055543789,0.3202621467295747,0.06486697974524733,0.32421010450479665
