test_year,train_start,train_end,train_window,target,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift
2020,2015,2019,5,part_damage,component_phase_size_mass_rate,0.01,8269,558,83,53,0.09498207885304659,0.6385542168674698,0.0674809529568267,9.462732651034244
2020,2015,2019,5,part_damage,component_phase_size_mass_rate,0.05,8269,558,414,205,0.3673835125448029,0.49516908212560384,0.0674809529568267,7.337908853219746
2020,2015,2019,5,part_damage,component_phase_size_mass_rate,0.1,8269,558,827,306,0.5483870967741935,0.37001209189842804,0.0674809529568267,5.483207863634591
2020,2015,2019,5,part_damage,component_phase_size_mass_rate,0.2,8269,558,1654,396,0.7096774193548387,0.23941958887545345,0.0674809529568267,3.547958029410618
2020,2015,2019,5,part_damage,component_phase_size_mass_frequency,0.01,8269,558,83,0,0.0,0.0,0.0674809529568267,0.0
2020,2015,2019,5,part_damage,component_phase_size_mass_frequency,0.05,8269,558,414,5,0.008960573476702509,0.012077294685990338,0.0674809529568267,0.17897338666389626
2020,2015,2019,5,part_damage,component_phase_size_mass_frequency,0.1,8269,558,827,11,0.01971326164874552,0.013301088270858524,0.0674809529568267,0.19710877941170096
2020,2015,2019,5,part_damage,component_phase_size_mass_frequency,0.2,8269,558,1654,16,0.02867383512544803,0.009673518742442563,0.0674809529568267,0.14335183957214617
2020,2015,2019,5,event_hard,phase_size_rate,0.01,8269,1639,83,59,0.03599755948749237,0.7108433734939759,0.19821018260974724,3.586311077133427
2020,2015,2019,5,event_hard,phase_size_rate,0.05,8269,1639,414,225,0.13727882855399634,0.5434782608695652,0.19821018260974724,2.7419290659734195
2020,2015,2019,5,event_hard,phase_size_rate,0.1,8269,1639,827,428,0.2611348383160464,0.5175332527206772,0.19821018260974724,2.6110326215663697
2020,2015,2019,5,event_hard,phase_size_rate,0.2,8269,1639,1654,718,0.438071995118975,0.43409915356711004,0.19821018260974724,2.1900951194914176
2020,2015,2019,5,event_hard,species_phase_size_rate,0.01,8269,1639,83,62,0.037827943868212324,0.7469879518072289,0.19821018260974724,3.768665877665635
2020,2015,2019,5,event_hard,species_phase_size_rate,0.05,8269,1639,414,252,0.1537522879804759,0.6086956521739131,0.19821018260974724,3.0709605538902305
2020,2015,2019,5,event_hard,species_phase_size_rate,0.1,8269,1639,827,412,0.25137278828553994,0.49818621523579204,0.19821018260974724,2.5134239254330475
2020,2015,2019,5,event_hard,species_phase_size_rate,0.2,8269,1639,1654,732,0.4466137888956681,0.44256348246674726,0.19821018260974724,2.232798924049746
2020,2015,2019,5,event_hard,component_only_rate,0.01,8269,1639,83,43,0.026235509456985967,0.5180722891566265,0.19821018260974724,2.61375214096165
2020,2015,2019,5,event_hard,component_only_rate,0.05,8269,1639,414,183,0.11165344722391703,0.4420289855072464,0.19821018260974724,2.2301023069917147
2020,2015,2019,5,event_hard,component_only_rate,0.1,8269,1639,827,300,0.18303843807199513,0.36275695284159615,0.19821018260974724,1.8301630524997918
2020,2015,2019,5,event_hard,component_only_rate,0.2,8269,1639,1654,526,0.3209273947528981,0.3180169286577993,0.19821018260974724,1.6044429426914841
2020,2015,2019,5,event_hard,component_phase_size_rate,0.01,8269,1639,83,62,0.037827943868212324,0.7469879518072289,0.19821018260974724,3.768665877665635
2020,2015,2019,5,event_hard,component_phase_size_rate,0.05,8269,1639,414,287,0.17510677242220865,0.6932367149758454,0.19821018260974724,3.497482853041651
2020,2015,2019,5,event_hard,component_phase_size_rate,0.1,8269,1639,827,478,0.29164124466137886,0.5779927448609432,0.19821018260974724,2.9160597969830016
2020,2015,2019,5,event_hard,component_phase_size_rate,0.2,8269,1639,1654,804,0.4905430140329469,0.4860943168077388,0.19821018260974724,2.4524184903497206
2020,2015,2019,5,event_hard,component_phase_size_mass_rate,0.01,8269,1639,83,61,0.03721781574130567,0.7349397590361446,0.19821018260974724,3.7078809441548994
2020,2015,2019,5,event_hard,component_phase_size_mass_rate,0.05,8269,1639,414,261,0.15924344112263575,0.6304347826086957,0.19821018260974724,3.180637716529167
2020,2015,2019,5,event_hard,component_phase_size_mass_rate,0.1,8269,1639,827,481,0.29347162904209884,0.5816203143893591,0.19821018260974724,2.934361427507999
2020,2015,2019,5,event_hard,component_phase_size_mass_rate,0.2,8269,1639,1654,838,0.511287370347773,0.5066505441354293,0.19821018260974724,2.556127729991376
2020,2015,2019,5,event_hard,component_phase_size_mass_frequency,0.01,8269,1639,83,4,0.0024405125076266015,0.04819277108433735,0.19821018260974724,0.24313973404294423
2020,2015,2019,5,event_hard,component_phase_size_mass_frequency,0.05,8269,1639,414,27,0.01647345942647956,0.06521739130434782,0.19821018260974724,0.32903148791681036
2020,2015,2019,5,event_hard,component_phase_size_mass_frequency,0.1,8269,1639,827,63,0.03843807199511898,0.0761789600967352,0.19821018260974724,0.3843342410249563
2020,2015,2019,5,event_hard,component_phase_size_mass_frequency,0.2,8269,1639,1654,86,0.052471018913971934,0.05199516324062878,0.19821018260974724,0.2623233708583035
2021,2016,2020,5,part_damage,phase_size_rate,0.01,11800,753,118,52,0.06905710491367861,0.4406779661016949,0.06381355932203389,6.905710491367863
2021,2016,2020,5,part_damage,phase_size_rate,0.05,11800,753,590,213,0.28286852589641437,0.3610169491525424,0.06381355932203389,5.657370517928288
2021,2016,2020,5,part_damage,phase_size_rate,0.1,11800,753,1180,364,0.48339973439575035,0.30847457627118646,0.06381355932203389,4.833997343957504
2021,2016,2020,5,part_damage,phase_size_rate,0.2,11800,753,2360,502,0.6666666666666666,0.21271186440677967,0.06381355932203389,3.333333333333334
2021,2016,2020,5,part_damage,species_phase_size_rate,0.01,11800,753,118,73,0.09694555112881806,0.6186440677966102,0.06381355932203389,9.694555112881808
2021,2016,2020,5,part_damage,species_phase_size_rate,0.05,11800,753,590,264,0.350597609561753,0.44745762711864406,0.06381355932203389,7.011952191235061
2021,2016,2020,5,part_damage,species_phase_size_rate,0.1,11800,753,1180,383,0.5086321381142098,0.32457627118644067,0.06381355932203389,5.086321381142099
2021,2016,2020,5,part_damage,species_phase_size_rate,0.2,11800,753,2360,511,0.6786188579017264,0.21652542372881356,0.06381355932203389,3.3930942895086327
2021,2016,2020,5,part_damage,component_only_rate,0.01,11800,753,118,42,0.055776892430278883,0.3559322033898305,0.06381355932203389,5.577689243027889
2021,2016,2020,5,part_damage,component_only_rate,0.05,11800,753,590,90,0.11952191235059761,0.15254237288135594,0.06381355932203389,2.3904382470119527
2021,2016,2020,5,part_damage,component_only_rate,0.1,11800,753,1180,190,0.25232403718459495,0.16101694915254236,0.06381355932203389,2.5232403718459495
2021,2016,2020,5,part_damage,component_only_rate,0.2,11800,753,2360,321,0.4262948207171315,0.13601694915254237,0.06381355932203389,2.1314741035856577
2021,2016,2020,5,part_damage,component_phase_size_rate,0.01,11800,753,118,84,0.11155378486055777,0.711864406779661,0.06381355932203389,11.155378486055778
2021,2016,2020,5,part_damage,component_phase_size_rate,0.05,11800,753,590,297,0.3944223107569721,0.5033898305084745,0.06381355932203389,7.888446215139442
2021,2016,2020,5,part_damage,component_phase_size_rate,0.1,11800,753,1180,423,0.5617529880478087,0.35847457627118645,0.06381355932203389,5.617529880478088
2021,2016,2020,5,part_damage,component_phase_size_rate,0.2,11800,753,2360,556,0.7383798140770252,0.23559322033898306,0.06381355932203389,3.6918990703851264
2021,2016,2020,5,part_damage,component_phase_size_mass_rate,0.01,11800,753,118,86,0.11420982735723771,0.7288135593220338,0.06381355932203389,11.420982735723772
2021,2016,2020,5,part_damage,component_phase_size_mass_rate,0.05,11800,753,590,304,0.4037184594953519,0.5152542372881356,0.06381355932203389,8.074369189907038
2021,2016,2020,5,part_damage,component_phase_size_mass_rate,0.1,11800,753,1180,436,0.5790172642762285,0.3694915254237288,0.06381355932203389,5.790172642762285
