component,phase_bucket,size,aircraft_mass_class,added_component_units,unique_events,component_damage_units,unit_level_event_consequence,unique_event_consequence,associated_event_cost,event_dedup_cost_within_combo,associated_event_aos,event_dedup_aos_within_combo
radome,enroute,UNKNOWN,2,3,3,1,3,3,0.0,0.0,0.0,0.0
lights,enroute,MEDIUM,1,1,1,1,1,1,0.0,0.0,0.0,0.0
lights,arrival,UNKNOWN,3,1,1,1,1,1,0.0,0.0,0.0,0.0
engine,departure,UNKNOWN,1,1,1,1,1,1,0.0,0.0,0.0,0.0
landing_gear,enroute,LARGE,1,1,1,1,1,1,0.0,0.0,0.0,0.0
wing_rotor,unknown,MEDIUM,3,1,1,1,1,1,0.0,0.0,0.0,0.0
lights,arrival,SMALL,1,1,1,1,1,1,0.0,0.0,0.0,0.0
fuselage,departure,LARGE,3,4,4,1,4,4,0.0,0.0,0.0,0.0
radome,arrival,UNKNOWN,2,1,1,1,1,1,0.0,0.0,0.0,0.0
engine,unknown,UNKNOWN,5,1,1,1,1,1,0.0,0.0,0.0,0.0
engine,departure,MEDIUM,UNKNOWN,1,1,0,1,1,0.0,0.0,0.0,0.0
windshield,enroute,UNKNOWN,2,1,1,0,1,1,0.0,0.0,0.0,0.0
other,enroute,SMALL,1,1,1,0,1,1,0.0,0.0,0.0,0.0
lights,departure,LARGE,2,1,1,0,1,1,0.0,0.0,0.0,0.0
wing_rotor,ground,UNKNOWN,2,1,1,0,1,1,0.0,0.0,0.0,0.0
propeller,departure,LARGE,2,4,4,0,4,4,0.0,0.0,0.0,0.0
