test_year,event_id,component,phase_bucket,size,aircraft_mass_class,part_damage,event_hard,cost,aos,species,airport_id,airport,aircraft
2014,1436993.0,engine,departure,LARGE,3,True,True,1119525.0,168.0,Double-crested cormorant,KPHL,PHILADELPHIA INTL,HAWKER 800
2014,1436993.0,nose,departure,LARGE,3,True,True,1119525.0,168.0,Double-crested cormorant,KPHL,PHILADELPHIA INTL,HAWKER 800
2014,1436993.0,landing_gear,departure,LARGE,3,True,True,1119525.0,168.0,Double-crested cormorant,KPHL,PHILADELPHIA INTL,HAWKER 800
2010,717456.0,wing_rotor,arrival,LARGE,3,True,True,1106250.0,0.0,Common loon,KLAX,LOS ANGELES INTL,DHC8 DASH 8
2015,770261.0,engine,departure,MEDIUM,4,True,True,1098360.0,48.0,Unknown bird - medium,MUHA,JOSE MARTI INTL ARPT,MD-83
2002,1826541.0,radome,departure,LARGE,4,True,True,1094741.0,15.0,Unknown bird - large,KSLC,SALT LAKE CITY INTL,A-300
2002,1826541.0,other,departure,LARGE,4,True,True,1094741.0,15.0,Unknown bird - large,KSLC,SALT LAKE CITY INTL,A-300
2007,691205.0,wing_rotor,arrival,LARGE,2,True,True,1084300.0,1440.0,White-tailed deer,KINT,SMITH REYOLDS ARPT,BE-400 BJET
2023,1460759.0,nose,arrival,LARGE,3,True,True,1071840.0,50.0,New World vultures,KDWH,DAVID WAYNE HOOKS MEMORIAL ARPT,CL-600
2023,1460759.0,fuselage,arrival,LARGE,3,True,True,1071840.0,50.0,New World vultures,KDWH,DAVID WAYNE HOOKS MEMORIAL ARPT,CL-600
2011,718596.0,engine,departure,LARGE,4,True,True,1071750.0,36.0,Canada goose,KPHL,PHILADELPHIA INTL,B-737-300
2002,652328.0,wing_rotor,arrival,LARGE,2,True,True,1071000.0,2928.0,White-tailed deer,KROX,ROSEAU MUNI ARPT/RUDY BILLBERG FLD,BE-90 KING
2002,652328.0,landing_gear,arrival,LARGE,2,True,True,1071000.0,2928.0,White-tailed deer,KROX,ROSEAU MUNI ARPT/RUDY BILLBERG FLD,BE-90 KING
2002,652328.0,propeller,arrival,LARGE,2,True,True,1071000.0,2928.0,White-tailed deer,KROX,ROSEAU MUNI ARPT/RUDY BILLBERG FLD,BE-90 KING
2002,652328.0,fuselage,arrival,LARGE,2,True,True,1071000.0,2928.0,White-tailed deer,KROX,ROSEAU MUNI ARPT/RUDY BILLBERG FLD,BE-90 KING
2005,667756.0,propeller,arrival,LARGE,2,True,True,1068600.0,0.0,White-tailed deer,KTNT,DADE-COLLIER TRAINING & TRANSITION ARPT,SA227 AC METRO III
2005,667756.0,landing_gear,arrival,LARGE,2,True,True,1068600.0,0.0,White-tailed deer,KTNT,DADE-COLLIER TRAINING & TRANSITION ARPT,SA227 AC METRO III
2023,1438851.0,engine,departure,MEDIUM,4,True,True,1056000.0,48.0,Northern pintail,PANC,TED STEVENS ANCHORAGE INTL,B-737-700
2023,1440149.0,nose,arrival,LARGE,3,True,True,1056000.0,0.0,Bald eagle,KSFB,ORLANDO SANFORD INTL ARPT,EMB-505 PHENOM 300
2023,1440149.0,radome,arrival,LARGE,3,True,True,1056000.0,0.0,Bald eagle,KSFB,ORLANDO SANFORD INTL ARPT,EMB-505 PHENOM 300
