ev_id,year,damage,severe,component_group,component,phase,size,mass,wildlife_hit,component_hit,phase_hit,size_hit,component_consistent,phase_consistent,size_consistent,severe_consistent,mapped_consistent,evidence_snippet
20110615X14727,2011,SUBS,yes,windshield,windshield,departure,LARGE,UNKNOWN,bird,windshield,initial climb; climb; departure; departed,large bird,1,1,1,1,1,"the pilot had just departed and was about 13 miles from the airport when he saw a large bird pass by the passenger side windshield. he did not feel or hear it strike the airplane,"
20120309X70038,2012,SUBS,yes,windshield,windshield,departure,MEDIUM,2,bird; birds,windscreen,departure,bird,1,1,1,1,1,"the airplane was in cruise flight at 6,000 feet above ground level when the windscreen was shattered by birds. the birds hit the top center section of the windscreen and entered th"
20130204X05610,2013,SUBS,yes,windshield,windshield,departure,MEDIUM,1,bird,windshield,takeoff; initial climb; climb; departure,bird,1,1,1,1,1,conducted under the provisions of 14 code of federal regulations part 91. the cirrus sr22 departed austin executive airport (edc) at 0748 and was en route to cll. the cessna 152 de
20131021X95422,2013,SUBS,yes,windshield,windshield,departure,LARGE,1,bird; vulture,windshield,climb,vulture,1,1,1,1,1,"according to the pilot, he was climbing the helicopter through 1,300 feet when he felt an ""explosion"" in his face that knocked his visor up and affected both his visibility and cre"
20140106X40632,2013,SUBS,yes,windshield,windshield,arrival,LARGE,3,bird; bird strike; birds,windshield,approach; descent; landed,flock,1,1,1,1,1,"havilland dhc-8-102, n808ex, operated by piedmont airlines as flight 4314, encountered a flock of a birds during the descent into philadelphia international airport (kphl), philad"
20140529X04134,2014,SUBS,yes,windshield,windshield,arrival,MEDIUM,3,bird; bird strike,windshield,approach; descent; landed,bird,1,1,1,1,1,"eastern daylight time, an embraer emb-135kl, n299sk, sustained substantial damage from a bird strike during approach to runway 10 at the cherry capital airport, traverse city, mic"
20160623X22855,2016,SUBS,yes,windshield,windshield,arrival,MEDIUM,1,bird; bird strike,windshield; windscreen,landing,bird,1,1,1,1,1,"about 1400 central daylight time (cdt), an md helicopters inc., 369e, n155nr, sustained a windscreen failure in flight, 20 miles south of brainerd lakes regional airport, minnesota"
20161205X03722,2016,SUBS,yes,windshield,windshield,arrival,LARGE,1,bird; birds,windscreen,landed,flock,1,1,1,1,1,"the co-pilot reported ""a flock of buzzards"" passed in front of the airplane while en-route, and ""the pic [pilot in command] took evasive action."" he further reported a buzzard coll"
20170531X60427,2017,SUBS,yes,windshield,windshield,arrival,LARGE,2,bird; goose,windscreen,approach; landed,goose,1,1,1,1,1,"the pilot reported that while en route, about 1,500 ft., he saw a goose approaching the airplane. he added that he attempted to turn and avoid the goose, but the goose impacted the"
20170723X91236,2017,SUBS,yes,windshield,windshield,departure,LARGE,1,bird; geese; goose,windshield,takeoff; takeoff roll,geese; goose,1,1,1,1,1,"the pilot reported that, during the takeoff roll, multiple geese flew across the runway. one goose struck the propeller and another struck the windshield. subsequently, the airplan"
