test_year,budget_share,score,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,lift,selected_weighted_damage,total_weighted_damage,weighted_capture_rate,weighted_selected_target_rate,weighted_overall_target_rate,weighted_lift
2016,0.1,component_phase_size_mass_rate,6209,304,621,182,0.5986842105263158,0.29307568438003223,5.985878040511908,18.54440280385375,30.984672900782623,0.5985024551730977,0.29185353178092444,0.04891282466825927,5.9668100086298095
2017,0.05,component_phase_size_mass_rate,6358,346,318,138,0.3988439306358382,0.4339622641509434,7.974370160322827,14.259872144162147,35.16513184828675,0.4055116928235516,0.4348886363935394,0.05439369970594094,7.995202362490529
2017,0.1,component_phase_size_mass_rate,6358,346,636,186,0.5375722543352601,0.29245283018867924,5.374032064565384,19.21221169558053,35.16513184828675,0.5463426606351983,0.29404776696831747,0.05439369970594094,5.405915915960414
2018,0.05,component_phase_size_mass_rate,7295,358,365,162,0.45251396648044695,0.4438356164383562,9.044080508150303,16.46228982294248,36.13395872041493,0.45559054158219403,0.44232745081001984,0.04870423198920196,9.081909984908226
2018,0.1,component_phase_size_mass_rate,7295,358,730,228,0.6368715083798883,0.31232876712328766,6.364352950179843,23.08664935113652,36.13395872041493,0.6389183518409525,0.31067995322332415,0.04870423198920196,6.378910836582001
2019,0.05,component_phase_size_mass_rate,7520,332,376,142,0.42771084337349397,0.3776595744680851,8.55421686746988,14.481571037461567,33.780123718547316,0.42870094728250846,0.3765141447439224,0.04430135123483392,8.498931392590828
2019,0.1,component_phase_size_mass_rate,7520,332,752,197,0.5933734939759037,0.261968085106383,5.933734939759036,20.13331100427594,33.780123718547316,0.5960105762792557,0.2624934576509219,0.04430135123483392,5.925179488532726
2020,0.05,component_phase_size_mass_rate,4260,213,213,81,0.38028169014084506,0.38028169014084506,7.605633802816901,8.49742606519467,22.398245632965597,0.37937909086451893,0.3776702365410202,0.04922436146444216,7.672425305381261
2020,0.1,component_phase_size_mass_rate,4260,213,426,118,0.5539906103286385,0.27699530516431925,5.539906103286385,12.446410694810924,22.398245632965597,0.5556868559603781,0.2755969431823089,0.04922436146444216,5.598791634532219
2021,0.05,component_phase_size_mass_rate,6401,303,321,129,0.42574257425742573,0.40186915887850466,8.48965176891521,13.50798033396843,31.21417875455882,0.43275142492722457,0.40528384696307906,0.047347823353450634,8.559714433705697
2021,0.1,component_phase_size_mass_rate,6401,303,641,179,0.5907590759075908,0.2792511700468019,5.899296169866597,18.58546465424917,31.21417875455882,0.5954173838879157,0.2810890654393534,0.047347823353450634,5.936684002156312
2022,0.05,component_phase_size_mass_rate,7407,337,371,135,0.40059347181008903,0.3638814016172507,7.997832468186872,13.824841956542178,34.35235950536499,0.4024422821490058,0.36485207399917086,0.04547743532441706,8.022705576874955
2022,0.1,component_phase_size_mass_rate,7407,337,741,192,0.56973293768546,0.2591093117408907,5.695022765770853,19.66912896908404,34.35235950536499,0.5725699559592757,0.25928833717750144,0.04547743532441706,5.7014722868131535
2023,0.05,component_phase_size_mass_rate,8788,355,440,143,0.4028169014084507,0.325,8.045352112676056,14.585111007595382,36.14728593078667,0.4034911787159442,0.32342217427270525,0.04049235343523161,7.987240721634666
2023,0.1,component_phase_size_mass_rate,8788,355,879,207,0.5830985915492958,0.2354948805460751,5.829659183771572,21.142855255884513,36.14728593078667,0.5849085128097301,0.23532782920489037,0.04049235343523161,5.811660949302497
2024,0.05,component_phase_size_mass_rate,9582,344,480,157,0.4563953488372093,0.32708333333333334,9.11079215116279,15.77959063760715,34.62770384289068,0.455692664728817,0.32506665063437074,0.035748690592086206,9.093106495663696
2024,0.1,component_phase_size_mass_rate,9582,344,959,215,0.625,0.22419186652763295,6.244786235662148,21.686729404113535,34.62770384289068,0.6262826291488565,0.22278830927749013,0.035748690592086206,6.23206907966608
2025,0.05,component_phase_size_mass_rate,10478,390,524,150,0.38461538461538464,0.2862595419847328,7.690839694656488,15.261160201895985,39.3380064334039,0.3879495069922242,0.2865712324948946,0.03720995173786426,7.701467459934494
2025,0.1,component_phase_size_mass_rate,10478,390,1048,220,0.5641025641025641,0.2099236641221374,5.639949109414759,22.267289438022868,39.3380064334039,0.5660502769940722,0.20954677024231722,0.03720995173786426,5.631471164448884
