airport_id,year,status,bytes
BWI,2007,downloaded,448371
BWI,2008,downloaded,452931
BWI,2009,downloaded,452608
BWI,2010,downloaded,451783
BWI,2011,downloaded,449158
BWI,2012,downloaded,474007
BWI,2013,downloaded,474291
BWI,2014,downloaded,475549
BWI,2015,downloaded,472556
BWI,2016,downloaded,476143
BWI,2017,downloaded,477110
BWI,2018,downloaded,473563
BWI,2019,downloaded,476179
BWI,2020,downloaded,476273
BWI,2021,downloaded,474667
BWI,2022,downloaded,474729
BWI,2023,downloaded,474406
BWI,2024,downloaded,476279
BWI,2025,downloaded,476185
CHA,2000,downloaded,429037
CHA,2001,downloaded,428714
CHA,2002,downloaded,433031
CHA,2003,downloaded,432185
CHA,2004,downloaded,434655
CHA,2005,downloaded,434719
CHA,2006,downloaded,435494
CHA,2007,downloaded,433441
CHA,2008,downloaded,437827
CHA,2009,downloaded,446391
CHA,2010,downloaded,445782
CHA,2011,downloaded,444971
CHA,2012,downloaded,472151
CHA,2013,downloaded,468490
CHA,2014,downloaded,468895
CHA,2015,downloaded,467966
CHA,2016,downloaded,469488
CHA,2017,downloaded,468630
CHA,2018,downloaded,469073
CHA,2019,downloaded,468660
CHA,2020,downloaded,468846
CHA,2021,downloaded,467251
CHA,2022,downloaded,467402
CHA,2023,downloaded,468920
CHA,2024,downloaded,469183
CHA,2025,downloaded,468148
CHS,2000,downloaded,420103
CHS,2001,downloaded,426163
CHS,2002,downloaded,444076
CHS,2003,downloaded,441024
CHS,2004,downloaded,432286
CHS,2005,downloaded,431154
CHS,2006,downloaded,430413
CHS,2007,downloaded,429968
CHS,2008,downloaded,429278
CHS,2009,downloaded,428337
CHS,2010,downloaded,426965
CHS,2011,downloaded,440010
CHS,2012,downloaded,470634
CHS,2013,downloaded,471648
CHS,2014,downloaded,468009
CHS,2015,downloaded,470664
CHS,2016,downloaded,470783
CHS,2017,downloaded,470030
CHS,2018,downloaded,470954
CHS,2019,downloaded,471510
CHS,2020,downloaded,472188
CHS,2021,downloaded,469997
CHS,2022,downloaded,470569
CHS,2023,downloaded,473488
CHS,2024,downloaded,473887
CHS,2025,downloaded,472954
CID,2000,downloaded,427277
CID,2001,downloaded,421380
CID,2002,downloaded,421846
CID,2003,downloaded,420260
CID,2004,downloaded,425965
CID,2005,downloaded,424174
CID,2006,downloaded,425746
CID,2007,downloaded,423374
CID,2008,downloaded,428690
CID,2009,downloaded,451218
CID,2010,downloaded,432978
CID,2011,downloaded,428026
CID,2012,downloaded,447287
CID,2013,downloaded,449942
CID,2014,downloaded,452049
CID,2015,downloaded,448134
CID,2016,downloaded,452162
CID,2017,downloaded,451077
CID,2018,downloaded,450156
CID,2019,downloaded,452344
CID,2020,downloaded,450814
CID,2021,downloaded,449610
CID,2022,downloaded,449282
CID,2023,downloaded,450505
CID,2024,downloaded,450790
CID,2025,downloaded,447284
CLE,2000,downloaded,443201
CLE,2001,downloaded,449413
CLE,2002,downloaded,452709
CLE,2003,downloaded,452281
CLE,2004,downloaded,453668
CLE,2005,downloaded,452220
CLE,2006,downloaded,454337
CLE,2007,downloaded,451733
CLE,2008,downloaded,454026
CLE,2009,downloaded,455043
CLE,2010,downloaded,453864
CLE,2011,downloaded,453699
CLE,2012,downloaded,473522
CLE,2013,downloaded,474119
CLE,2014,downloaded,474660
CLE,2015,downloaded,474792
CLE,2016,downloaded,476588
CLE,2017,downloaded,476487
CLE,2018,downloaded,475023
CLE,2019,downloaded,476259
CLE,2020,downloaded,475634
CLE,2021,downloaded,474339
CLE,2022,downloaded,474152
CLE,2023,downloaded,473319
CLE,2024,downloaded,476398
CLE,2025,downloaded,474584
CLT,2000,downloaded,436130
CLT,2001,downloaded,442493
CLT,2002,downloaded,437109
CLT,2003,downloaded,445046
CLT,2004,downloaded,444301
CLT,2005,downloaded,416149
CLT,2006,downloaded,408456
CLT,2007,downloaded,439887
CLT,2008,downloaded,445004
CLT,2009,downloaded,468854
CLT,2010,downloaded,447305
CLT,2011,downloaded,442464
CLT,2012,downloaded,467843
CLT,2013,downloaded,469935
CLT,2014,downloaded,470840
CLT,2015,downloaded,469527
CLT,2016,downloaded,474326
CLT,2017,downloaded,474400
CLT,2018,downloaded,471971
CLT,2019,downloaded,472554
CLT,2020,downloaded,473260
CLT,2021,downloaded,471378
CLT,2022,downloaded,467141
CLT,2023,downloaded,471575
CLT,2024,downloaded,472243
CLT,2025,downloaded,471432
CMH,2000,downloaded,444817
CMH,2001,downloaded,448230
CMH,2002,downloaded,448436
CMH,2003,downloaded,447475
CMH,2004,downloaded,447379
CMH,2005,downloaded,444945
CMH,2006,downloaded,448825
CMH,2007,downloaded,448328
CMH,2008,downloaded,451550
CMH,2009,downloaded,450569
CMH,2010,downloaded,448058
CMH,2011,downloaded,449829
CMH,2012,downloaded,470842
CMH,2013,downloaded,471145
CMH,2014,downloaded,473320
CMH,2015,downloaded,471951
CMH,2016,downloaded,473427
CMH,2017,downloaded,473766
CMH,2018,downloaded,472091
CMH,2019,downloaded,473159
CMH,2020,downloaded,472980
CMH,2021,downloaded,472666
CMH,2022,downloaded,473153
CMH,2023,downloaded,473263
CMH,2024,downloaded,475635
CMH,2025,downloaded,474047
COS,2000,downloaded,432235
COS,2001,downloaded,438149
COS,2002,downloaded,437846
COS,2003,downloaded,438034
COS,2004,downloaded,437706
COS,2005,downloaded,438287
COS,2006,downloaded,438306
COS,2007,downloaded,437023
COS,2008,downloaded,418212
COS,2009,downloaded,417179
COS,2010,downloaded,416316
COS,2011,downloaded,418326
COS,2012,downloaded,458948
COS,2013,downloaded,467220
COS,2014,downloaded,476922
COS,2015,downloaded,475135
COS,2016,downloaded,480162
COS,2017,downloaded,478141
COS,2018,downloaded,476174
COS,2019,downloaded,476055
COS,2020,downloaded,476490
COS,2021,downloaded,474356
COS,2022,downloaded,476084
COS,2023,downloaded,475102
COS,2024,downloaded,477975
COS,2025,downloaded,475886
