test_year,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture,selected_event_deduplicated_cost,total_event_deduplicated_cost,selected_event_deduplicated_aos,total_event_deduplicated_aos
2016,hierarchical_review_rule,0.01,10452,657,105,71,0.1080669710806697,0.6761904761904762,0.06285878300803674,10.75729506414438,0.28174602524109194,0.07658429165647174,4812514.0,17081036.0,2817.0,36783.0
2016,hierarchical_review_rule,0.025,10452,657,262,151,0.2298325722983257,0.5763358778625954,0.06285878300803674,9.168740632298094,0.3910698390893854,0.3548650191664628,6679878.0,17081036.0,13053.0,36783.0
2016,hierarchical_review_rule,0.05,10452,657,523,243,0.3698630136986301,0.4646271510516252,0.06285878300803674,7.391602713533618,0.46758194292196326,0.5671098061604546,7986784.0,17081036.0,20860.0,36783.0
2016,hierarchical_review_rule,0.1,10452,657,1046,379,0.5768645357686454,0.36233269598470363,0.06285878300803674,5.764233391829714,0.7062246107320422,0.6777315607753582,12063048.0,17081036.0,24929.0,36783.0
2016,hierarchical_review_rule,0.2,10452,657,2091,483,0.7351598173515982,0.2309899569583931,0.06285878300803674,3.6747443380960805,0.8017258437954232,0.8137182937770165,13694308.0,17081036.0,29931.0,36783.0
2016,historical_frequency,0.01,10452,657,105,1,0.0015220700152207,0.009523809523809525,0.06285878300803674,0.15151119808654057,0.0,8.15594160345812e-05,0.0,17081036.0,3.0,36783.0
2016,historical_frequency,0.025,10452,657,262,4,0.0060882800608828,0.015267175572519083,0.06285878300803674,0.24288054655094285,0.01594481739866364,0.0013865100725878802,272354.0,17081036.0,51.0,36783.0
2016,historical_frequency,0.05,10452,657,523,6,0.0091324200913242,0.011472275334608031,0.06285878300803674,0.18250870897613872,0.016076542429861982,0.002582714841095071,274604.0,17081036.0,95.0,36783.0
2016,historical_frequency,0.1,10452,657,1046,7,0.0106544901065449,0.006692160611854685,0.06285878300803674,0.10646341356941426,0.016429448424556917,0.00296332544925645,280632.0,17081036.0,109.0,36783.0
2016,historical_frequency,0.2,10452,657,2091,22,0.0334855403348554,0.010521281683405069,0.06285878300803674,0.167379659292161,0.020598867656505145,0.012152352989152598,351850.0,17081036.0,447.0,36783.0
2017,hierarchical_review_rule,0.01,11128,768,112,77,0.10026041666666667,0.6875,0.06901509705248023,9.961588541666668,0.5001466010414883,0.1400062642623831,24324829.0,48635398.0,3129.0,22349.0
2017,hierarchical_review_rule,0.025,11128,768,279,167,0.21744791666666666,0.5985663082437276,0.06901509705248023,8.672976403823178,0.7128516764682382,0.29885006040538725,34669825.0,48635398.0,6679.0,22349.0
2017,hierarchical_review_rule,0.05,11128,768,557,279,0.36328125,0.5008976660682226,0.06901509705248023,7.257798473967684,0.7908080036684392,0.42185332677077275,38461262.0,48635398.0,9428.0,22349.0
2017,hierarchical_review_rule,0.1,11128,768,1113,413,0.5377604166666666,0.3710691823899371,0.06901509705248023,5.37663784067086,0.872695973414261,0.7097409280057273,42443916.0,48635398.0,15862.0,22349.0
2017,hierarchical_review_rule,0.2,11128,768,2226,570,0.7421875,0.2560646900269542,0.06901509705248023,3.710270664869722,0.936279744230735,0.8577564991722225,45536338.0,48635398.0,19170.0,22349.0
2017,historical_frequency,0.01,11128,768,112,5,0.006510416666666667,0.044642857142857144,0.06901509705248023,0.6468563988095238,0.0016308286404893818,0.0016555550583918744,79316.0,48635398.0,37.0,22349.0
2017,historical_frequency,0.025,11128,768,279,5,0.006510416666666667,0.017921146953405017,0.06901509705248023,0.2596699522102748,0.0016720743192026515,0.0033558548480916374,81322.0,48635398.0,75.0,22349.0
2017,historical_frequency,0.05,11128,768,557,9,0.01171875,0.01615798922800718,0.06901509705248023,0.23412253141831238,0.001692285935441507,0.004653452056020403,82305.0,48635398.0,104.0,22349.0
2017,historical_frequency,0.1,11128,768,1113,14,0.018229166666666668,0.012578616352201259,0.06901509705248023,0.1822589098532495,0.001785304604683198,0.011499395946127344,86829.0,48635398.0,257.0,22349.0
2017,historical_frequency,0.2,11128,768,2226,26,0.033854166666666664,0.011680143755615454,0.06901509705248023,0.1692404162923031,0.012993601902877407,0.019150744999776276,631949.0,48635398.0,428.0,22349.0
2018,hierarchical_review_rule,0.01,12760,814,128,89,0.10933660933660934,0.6953125,0.06379310344827586,10.899493243243242,0.2592325499477535,0.1956145668534591,4170575.0,16088161.0,6615.0,33816.5
2018,hierarchical_review_rule,0.025,12760,814,319,192,0.23587223587223588,0.6018808777429467,0.06379310344827586,9.434889434889435,0.3778796718904044,0.3138113051321101,6079389.0,16088161.0,10612.0,33816.5
2018,hierarchical_review_rule,0.05,12760,814,638,313,0.3845208845208845,0.49059561128526646,0.06379310344827586,7.69041769041769,0.4791121869056382,0.5366315260301924,7708034.0,16088161.0,18147.0,33816.5
2018,hierarchical_review_rule,0.1,12760,814,1276,479,0.5884520884520884,0.37539184952978055,0.06379310344827586,5.884520884520884,0.6207757368912457,0.7981310898525867,9987140.0,16088161.0,26990.0,33816.5
2018,hierarchical_review_rule,0.2,12760,814,2552,621,0.7628992628992629,0.24333855799373041,0.06379310344827586,3.8144963144963144,0.8217328257716964,0.8740555645912498,13220170.0,16088161.0,29557.5,33816.5
2018,historical_frequency,0.01,12760,814,128,8,0.009828009828009828,0.0625,0.06379310344827586,0.9797297297297297,3.18868017295451e-05,0.0010054263451273787,513.0,16088161.0,34.0,33816.5
2018,historical_frequency,0.025,12760,814,319,9,0.011056511056511056,0.02821316614420063,0.06379310344827586,0.44226044226044225,0.0005448727172732794,0.002365709047358538,8766.0,16088161.0,80.0,33816.5
2018,historical_frequency,0.05,12760,814,638,14,0.0171990171990172,0.0219435736677116,0.06379310344827586,0.34398034398034394,0.001276839534363188,0.003578134934129789,20542.0,16088161.0,121.0,33816.5
2018,historical_frequency,0.1,12760,814,1276,19,0.02334152334152334,0.014890282131661442,0.06379310344827586,0.2334152334152334,0.003152877448205547,0.006357843064776071,50724.0,16088161.0,215.0,33816.5
2018,historical_frequency,0.2,12760,814,2552,32,0.03931203931203931,0.012539184952978056,0.06379310344827586,0.19656019656019655,0.011501873955637317,0.009270622329336271,185044.0,16088161.0,313.5,33816.5
2019,hierarchical_review_rule,0.01,13667,863,137,86,0.0996523754345307,0.6277372262773723,0.06314480134630862,9.94123368659658,0.15907387485790764,0.16487314667428007,4518764.0,28406701.0,3372.5,20455.120000000003
2019,hierarchical_review_rule,0.025,13667,863,342,194,0.22479721900347624,0.5672514619883041,0.06314480134630862,8.983343836609679,0.20955643529320775,0.28668372515047574,5952807.0,28406701.0,5864.15,20455.120000000003
2019,hierarchical_review_rule,0.05,13667,863,684,334,0.3870220162224797,0.48830409356725146,0.06314480134630862,7.733084642854723,0.33787066650224534,0.43547776791336346,9597791.0,28406701.0,8907.75,20455.120000000003
2019,hierarchical_review_rule,0.1,13667,863,1367,513,0.5944380069524913,0.37527432333577176,0.06314480134630862,5.9430755237890995,0.6605599150707433,0.7605479703858984,18764328.0,28406701.0,15557.1,20455.120000000003
