test_year,operation_stratum,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,weighted_capture_rate,weighted_lift
2008,high operations,component_transition_score,0.1,1372,111,138,63,0.5675675675675675,0.45652173913043476,0.08090379008746355,5.642773207990599,0.5656329715356225,5.633714252232256
2008,all matched,airport_operations_only,0.05,4255,323,213,24,0.07430340557275542,0.11267605633802817,0.07591069330199765,1.4843239000566868,0.0664674915940527,1.492503327599779
2008,all matched,airport_operations_only,0.1,4255,323,426,35,0.10835913312693499,0.08215962441314555,0.07591069330199765,1.082319510458001,0.09767508641759098,1.0834291717917748
2008,low operations,airport_operations_only,0.05,1295,91,65,8,0.08791208791208792,0.12307692307692308,0.07027027027027027,1.7514792899408285,0.0845354033793266,1.7531270172036342
2008,low operations,airport_operations_only,0.1,1295,91,130,10,0.10989010989010989,0.07692307692307693,0.07027027027027027,1.0946745562130178,0.10572745081333584,1.0949907467690019
2008,medium operations,airport_operations_only,0.05,1588,121,80,4,0.03305785123966942,0.05,0.07619647355163728,0.6561983471074381,0.03204228186835885,0.6596677629380615
2008,medium operations,airport_operations_only,0.1,1588,121,159,9,0.0743801652892562,0.05660377358490566,0.07619647355163728,0.7428660533291751,0.07213162190738591,0.7466456520599
2008,high operations,airport_operations_only,0.05,1372,111,69,5,0.04504504504504504,0.07246376811594203,0.08090379008746355,0.8956782869826349,0.04269026528708695,0.89661415650199
2008,high operations,airport_operations_only,0.1,1372,111,138,15,0.13513513513513514,0.10869565217391304,0.08090379008746355,1.3435174304739523,0.12857156575582895,1.3457468027189987
2009,all matched,component_transition_score,0.05,5681,344,285,125,0.3633720930232558,0.43859649122807015,0.060552719591621194,7.243217054263566,0.3628353171105115,7.223443162388217
2009,all matched,component_transition_score,0.1,5681,344,569,184,0.5348837209302325,0.3233743409490334,0.060552719591621194,5.340376834103077,0.53629147484719,5.334500138972065
2009,low operations,component_transition_score,0.05,2145,110,108,38,0.34545454545454546,0.35185185185185186,0.05128205128205128,6.861111111111112,0.34657982724133757,6.789598782676248
2009,low operations,component_transition_score,0.1,2145,110,215,60,0.5454545454545454,0.27906976744186046,0.05128205128205128,5.441860465116279,0.5452323523518938,5.420240832112436
2009,medium operations,component_transition_score,0.05,1830,134,92,50,0.373134328358209,0.5434782608695652,0.073224043715847,7.422128487994808,0.37290041537698043,7.438680250124401
2009,medium operations,component_transition_score,0.1,1830,134,183,73,0.5447761194029851,0.3989071038251366,0.073224043715847,5.447761194029851,0.544882565591834,5.45835286752904
2009,high operations,component_transition_score,0.05,1706,100,86,32,0.32,0.37209302325581395,0.05861664712778429,6.347906976744186,0.320635553103665,6.331146735567549
2009,high operations,component_transition_score,0.1,1706,100,171,52,0.52,0.30409356725146197,0.05861664712778429,5.187836257309941,0.5226967941260516,5.1906486096363675
