test_year,score,budget_share,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,total_event_cost,selected_event_cost,event_cost_capture_rate,total_event_aos,selected_event_aos,event_aos_capture_rate
2003,posterior_expected_burden,0.05,5953,298,758,188,0.24802110817941952,0.6308724832214765,4.954596164402967,1481,240,0.16205266711681296,0.8053691275167785,3.237246736061703,40599482.0,15927315.0,0.3923034042651086,37664.0,23361.0,0.6202474511469839
2003,posterior_expected_burden,0.1,5953,596,758,311,0.4102902374670185,0.5218120805369127,4.098083529599263,1481,424,0.2862930452397029,0.7114093959731543,2.859567950187838,40599482.0,24935496.0,0.614182614448135,37664.0,25903.0,0.6877389549702634
2003,posterior_damage_gated_burden,0.05,5953,298,758,185,0.24406332453825857,0.6208053691275168,4.875533459651857,1481,234,0.15800135043889263,0.785234899328859,3.1563155676601604,40599482.0,14811519.0,0.36482039352127693,37664.0,20297.0,0.5388965590484283
2003,posterior_damage_gated_burden,0.1,5953,596,758,313,0.4129287598944591,0.5251677852348994,4.1244377645163,1481,421,0.28426738690074277,0.7063758389261745,2.839335158087452,40599482.0,24853397.0,0.6121604457909093,37664.0,25935.0,0.688588572642311
2003,posterior_tail_burden,0.05,5953,298,758,186,0.24538258575197888,0.6241610738255033,4.901887694568893,1481,238,0.16070222822417285,0.7986577181208053,3.2102696799278556,40599482.0,14811868.0,0.3648289896900655,37664.0,20299.0,0.5389496601529312
2003,posterior_tail_burden,0.1,5953,596,758,315,0.4155672823218997,0.5285234899328859,4.150791999433337,1481,423,0.28561782579338285,0.709731543624161,2.852823686154376,40599482.0,24826258.0,0.6114919889864605,37664.0,25855.0,0.686464528462192
2003,posterior_event_tail_burden,0.05,5953,298,758,191,0.2519788918205805,0.6409395973154363,5.0336588691540785,1481,250,0.1688048615800135,0.8389261744966443,3.3721320167309408,40599482.0,16346464.0,0.4026274029801661,37664.0,21898.0,0.5814039932030586
2003,posterior_event_tail_burden,0.1,5953,596,758,316,0.41688654353562005,0.5302013422818792,4.163969116891856,1481,441,0.2977717758271438,0.7399328859060402,2.9742204387566895,40599482.0,24913771.0,0.6136475090987614,37664.0,25945.0,0.6888540781648258
2003,risk_guarded_tail_burden,0.05,5953,298,758,186,0.24538258575197888,0.6241610738255033,4.901887694568893,1481,238,0.16070222822417285,0.7986577181208053,3.2102696799278556,40599482.0,14811868.0,0.3648289896900655,37664.0,20299.0,0.5389496601529312
2003,risk_guarded_tail_burden,0.1,5953,596,758,315,0.4155672823218997,0.5285234899328859,4.150791999433337,1481,423,0.28561782579338285,0.709731543624161,2.852823686154376,40599482.0,24826258.0,0.6114919889864605,37664.0,25855.0,0.686464528462192
2004,hierarchical_component_transition,0.05,6550,328,748,218,0.2914438502673797,0.6646341463414634,5.819991522107735,1400,275,0.19642857142857142,0.8384146341463414,3.9225827526132404,32109043.0,10341039.0,0.32206001904198767,54065.5,38966.0,0.7207183878813661
2004,hierarchical_component_transition,0.1,6550,655,748,370,0.4946524064171123,0.5648854961832062,4.946524064171124,1400,495,0.3535714285714286,0.7557251908396947,3.535714285714286,32109043.0,22704476.0,0.7071053472381597,54065.5,44194.0,0.8174159121805957
2004,component_phase_size_mass_rate,0.05,6550,328,748,194,0.25935828877005346,0.5914634146341463,5.179258510499543,1400,258,0.18428571428571427,0.7865853658536586,3.680095818815331,32109043.0,14310811.0,0.44569409932273596,54065.5,38612.0,0.7141707743385338
2004,component_phase_size_mass_rate,0.1,6550,655,748,362,0.4839572192513369,0.5526717557251909,4.839572192513369,1400,494,0.35285714285714287,0.7541984732824427,3.5285714285714285,32109043.0,23105647.0,0.7195993664463933,54065.5,44525.0,0.8235381158039785
2004,component_phase_size_mass_frequency,0.05,6550,328,748,52,0.06951871657754011,0.15853658536585366,1.3882548584844139,1400,61,0.04357142857142857,0.18597560975609756,0.8701001742160279,32109043.0,1169004.0,0.03640731366549915,54065.5,74.0,0.0013687101756203123
2004,component_phase_size_mass_frequency,0.1,6550,655,748,70,0.09358288770053476,0.10687022900763359,0.9358288770053476,1400,91,0.065,0.13893129770992366,0.65,32109043.0,2401752.0,0.07479986245619341,54065.5,117.0,0.0021640417641564397
2004,posterior_expected_burden,0.05,6550,328,748,217,0.29010695187165775,0.6615853658536586,5.793294313290727,1400,286,0.2042857142857143,0.8719512195121951,4.07948606271777,32109043.0,11842800.0,0.3688306748974113,54065.5,40865.0,0.7558424503611361
2004,posterior_expected_burden,0.1,6550,655,748,366,0.4893048128342246,0.5587786259541985,4.8930481283422465,1400,503,0.35928571428571426,0.76793893129771,3.592857142857143,32109043.0,23911990.0,0.7447120115040489,54065.5,45234.0,0.8366518389730975
2004,posterior_damage_gated_burden,0.05,6550,328,748,214,0.28609625668449196,0.6524390243902439,5.713202686839703,1400,275,0.19642857142857142,0.8384146341463414,3.9225827526132404,32109043.0,10291768.0,0.32052552920994876,54065.5,38942.0,0.7202744818784622
2004,posterior_damage_gated_burden,0.1,6550,655,748,370,0.4946524064171123,0.5648854961832062,4.946524064171124,1400,501,0.3578571428571429,0.7648854961832061,3.5785714285714287,32109043.0,23130619.0,0.7203770912761243,54065.5,44567.0,0.8243149513090603
